id,src,tgt,score,status,flag_reason
904,"Composting kitchen scraps naturally diverts organic waste from landfills. This process significantly reduces methane emissions, mitigating harmful greenhouse gases.","A compostagem de restos de cozinha naturalmente desvia os resíduos orgânicos dos aterros sanitários. Este processo reduz significativamente as emissões de metano, mitigando os gases nocivos do efeito estufa.",,flagged,Length ratio out of bounds (1.53)
946,"Industrial processes, particularly manufacturing concrete and steel, emit powerful greenhouse gases that exacerbate the warming trend worldwide.","Os processos industriais, particularmente a fabricação de concreto e aço, emitem gases de efeito estufa poderosos que exacerbam a tendência de aquecimento em todo o mundo.",,flagged,Length ratio out of bounds (1.53)
992,Deforestation severely degrades wildlife habitats. Reforestation efforts and sustainable logging practices are critical for preserving biodiversity.,O desmatamento degrada severamente os habitats da vida selvagem. Os esforços de reflorestamento e as práticas de extração de madeira sustentáveis são fundamentais para preservar a biodiversidade.,,flagged,Length ratio out of bounds (1.69)
993,"Habitat fragmentation isolates animal populations, threatening species survival. Creating wildlife corridors helps maintain genetic diversity and natural movement patterns.","A fragmentação do habitat isola as populações animais, ameaçando a sobrevivência das espécies. A criação de corredores de vida selvagem ajuda a manter a diversidade genética e os padrões de movimento natural.",,flagged,Length ratio out of bounds (1.68)
995,Pollution from industrial runoff contaminates freshwater habitats. Implementing strict waste treatment protocols safeguards aquatic life and surrounding terrestrial environments.,A poluição causada pelo escoamento industrial contamina os habitats de água doce. A implementação de protocolos rigorosos de tratamento de resíduos protege a vida aquática e os ambientes terrestres circundantes.,,flagged,Length ratio out of bounds (1.58)
997,Illegal wildlife trade depletes animal populations and disrupts natural habitats. Stricter enforcement and community education are necessary to combat poaching.,O comércio ilegal de animais selvagens esgota as populações de animais e perturba os habitats naturais. Uma aplicação mais rigorosa e a educação comunitária são necessárias para combater a caça ilegal.,,flagged,Length ratio out of bounds (1.55)
1020,Proper site grading and vegetation cover are key to managing runoff velocity. This prevents soil erosion and pollutant wash-off.,A classificação adequada do local e a cobertura da vegetação são fundamentais para gerenciar a velocidade de escoamento. Isso evita a erosão do solo e a lavagem de poluentes.,,flagged,Length ratio out of bounds (1.53)
1038,Adopting the 'refuse' principle—declining single-use plastics—is the most effective consumption choice for tackling immediate waste crises.,A adoção do princípio da “recusa” – a redução dos plásticos de uso único – é a escolha de consumo mais eficaz para lidar com crises imediatas de resíduos.,,flagged,Length ratio out of bounds (1.81)
1250,Understanding pure delight means savoring every moment of unexpected happiness.,Entender o puro deleite significa saborear cada momento de felicidade inesperada.,,flagged,Target LangID failed (got __label__es)
1431,"Tears of unbearable sadness streamed down her face, mourning the chapter that closed.","Lágrimas de tristeza insuportável escorreram por seu rosto, lamentando o capítulo que se fechou.",,flagged,Target LangID failed (got __label__es)
1479,"Overwhelming despair washed over the artist, leaving her unable to paint for weeks.","O desespero esmagador varreu a artista, deixando-a incapaz de pintar por semanas.",,flagged,Target LangID failed (got __label__es)
1486,Establishing clear boundaries helps manage toxic relationships causing anger.,Estabelecer limites claros ajuda a gerenciar relacionamentos tóxicos que causam raiva.,,flagged,Target LangID failed (got __label__gl)
1781,"I'm not sure about going to the mountains. Maybe we should reconsider the beach trip instead, it sounds more relaxing.","Talvez devêssemos reconsiderar a viagem à praia, parece mais relaxante.",,flagged,Length ratio out of bounds (0.50)
1975,Bravery isn't just physical; it's speaking up. Making the moral choice requires courage and unwavering conviction.,Fazer a escolha moral requer coragem e convicção inabalável.,,flagged,Length ratio out of bounds (0.56)
1985,"Unlike surface-level sympathy, true connection allows you to feel with someone, offering deeper support than simple pity ever could.","Ao contrário da simpatia no nível da superfície, a verdadeira conexão permite que você sinta com alguém, oferecendo um apoio mais profundo do que a simples piedade jamais poderia.",,flagged,Length ratio out of bounds (1.53)
2143,"The limited scope area prevents us from seeing big, sweeping landscapes.",A área de escopo limitado nos impede de ver paisagens grandes e arrebatadoras.,,flagged,Target LangID failed (got __label__es)
2235,Freshly baked bread tastes considerably better than store-bought varieties.,O pão recém-assado tem um sabor consideravelmente melhor do que as variedades compradas na loja.,,flagged,Length ratio out of bounds (1.67)
2859,Could you please direct me to an exit? I need to get out of here.,"Por favor, podes levar-me para uma saída?",,flagged,Length ratio out of bounds (0.47)
2929,Would you mind calling a taxi? I'm having trouble reaching one myself.,Importas-te de chamar um táxi?,,flagged,Length ratio out of bounds (0.42)
2954,Would you mind helping me carry this box? It weighs significantly more than expected.,Importas-te de me ajudar a carregar esta caixa?,,flagged,Length ratio out of bounds (0.57)
2957,Could you offer some help? I can't seem to lift this heavy box by myself.,Não consigo levantar esta caixa pesada sozinho.,,flagged,Length ratio out of bounds (0.47)
3197,"I suggest creating a task matrix. We need dedicated roles for vendor liaison, budget tracking, and day-of timeline management.","Sugiro a criação de uma matriz de tarefas. Precisamos de funções dedicadas para a ligação do fornecedor, o rastreamento do orçamento e o gerenciamento do dia da linha do tempo.",,flagged,Length ratio out of bounds (1.58)
3235,"For lighting rentals, specify the desired coverage area and power requirements. LED uplights are often more energy-efficient.","Para aluguel de iluminação, especifique a área de cobertura desejada e os requisitos de energia. As luzes de LED são muitas vezes mais eficientes em termos energéticos.",,flagged,Length ratio out of bounds (1.59)
3236,Check the rental contract thoroughly for deposit requirements and cancellation policies. Understand the return schedule for all gear.,Verifique o contrato de aluguel cuidadosamente para requisitos de depósito e políticas de cancelamento. Entenda o cronograma de retorno para todos os equipamentos.,,flagged,Target LangID failed (got __label__es)
3733,I believe there might be an overcharge here. Could you check the receipt for the breakfast service from yesterday?,Pode verificar o recibo do serviço de pequeno-almoço de ontem?,,flagged,Length ratio out of bounds (0.53)
3762,I seem to be a little lost. Where exactly is the elevator located relative to the reception desk?,Onde exatamente o elevador está localizado em relação à recepção?,,flagged,Length ratio out of bounds (0.56)
3790,Applying sunscreen prevents painful sunburns and long-term skin damage.,A aplicação de protetor solar evita queimaduras solares dolorosas e danos à pele a longo prazo.,,flagged,Length ratio out of bounds (1.78)
3878,Consider using aloe vera gel after sunset to soothe irritated skin.,Considere o uso de gel de aloe vera após o pôr do sol para acalmar a pele irritada.,,flagged,Length ratio out of bounds (1.64)
4105,"Could you tell me the fine for these late returned magazines, please?","Pode dizer-me a multa por estas revistas atrasadas, por favor?",,flagged,Target LangID failed (got __label__es)
4139,Students often use noise-canceling headphones in this dedicated study area.,Os alunos costumam usar fones de ouvido com cancelamento de ruído nesta área de estudo dedicada.,,flagged,Length ratio out of bounds (1.60)
4180,The librarian taught me how to utilize the interlibrary loan digital portal efficiently.,O bibliotecário me ensinou como utilizar o portal digital de empréstimo interbiblioteca de forma eficiente.,,flagged,Target LangID failed (got __label__es)
4251,"We spent time observing the intricate carvings on the stone tablet. The hieroglyphs depicted a complex narrative, challenging our understanding of ancient writing.","Os hieróglifos representavam uma narrativa complexa, desafiando nossa compreensão da escrita antiga.",,flagged,Length ratio out of bounds (0.52)
4536,"Excuse me, could you tell me where the nearest restroom is located?","Desculpe, você poderia me dizer onde o banheiro mais próximo está localizado?",,flagged,Duplicate source sentence
4613,The dentist emphasized brushing twice daily—once in the morning and once before bed—for optimal oral hygiene.,O dentista enfatizou a escovação duas vezes ao dia – uma vez pela manhã e uma vez antes de dormir – para uma higiene bucal ideal.,,flagged,Length ratio out of bounds (1.62)
4781,The stylist finished by gently brushing out any remaining heat-styled tangles.,O estilista terminou escovando suavemente quaisquer emaranhados de estilo térmico restantes.,,flagged,Target LangID failed (got __label__es)
4894,How much would two loaves of your premium Italian bread cost me?,Quanto custam-me dois pães italianos?,,flagged,Length ratio out of bounds (0.42)
4906,Are there any dairy ingredients in this vegan loaf of bread?,Existem ingredientes lácteos neste pão vegano?,,flagged,Length ratio out of bounds (0.55)
4956,"We talked about cake size, ensuring it would serve the expected number of delighted guests.","Falamos sobre o tamanho do bolo, garantindo que serviria o número esperado de convidados encantados.",,flagged,Target LangID failed (got __label__es)
5371,Optimizing landing pages is crucial for conversion rates. Clear calls-to-action and streamlined forms ensure visitors become measurable leads efficiently.,A otimização das landing pages é crucial para as taxas de conversão. Formulários claros de calls-to-action e simplificados garantem que os visitantes se tornem leads mensuráveis de forma eficiente.,,flagged,Length ratio out of bounds (1.53)
5372,Utilizing SEO practices is fundamental to organic lead generation. Targeting high-intent keywords ensures your content is seen by ready-to-buy prospects.,A utilização de práticas de SEO é fundamental para a geração de leads orgânicos. A segmentação de palavras-chave de alta intenção garante que seu conteúdo seja visto por prospects prontos para comprar.,,flagged,Length ratio out of bounds (1.60)
5402,"Analyzing keyword difficulty helps prioritize content creation. Focus on manageable, low-competition terms first to build foundational search engine authority.",Analisar a dificuldade de palavras-chave ajuda a priorizar a criação de conteúdo. Concentre-se em termos gerenciáveis e de baixa concorrência primeiro para criar autoridade fundamental do mecanismo de pesquisa.,,flagged,Length ratio out of bounds (1.53)
5595,"Expert testimony must be both relevant and reliable, requiring the witness to demonstrate specialized knowledge that assists the trier of fact. The admissibility of such testimony is often governed by established standards, like the *Daubert* criteria, ensuring scientific rigor.","O testemunho de especialistas deve ser relevante e confiável, exigindo que a testemunha demonstre conhecimento especializado que auxilia o trier de fato. A admissibilidade de tal testemunho é frequentemente regida por padrões estabelecidos, como os critérios * Daubert *, garantindo o rigor científico.",,flagged,HTML/Markdown detected in target
6186,Belief systems must navigate the tension between maintaining dogma and promoting universal human rights and justice globally.,Os sistemas de crenças devem navegar a tensão entre a manutenção do dogma e a promoção dos direitos humanos universais e da justiça em todo o mundo.,,flagged,Length ratio out of bounds (1.59)
6335,"Considering the source of moral obligation—whether it stems from divine command, social contract, or pure reason—fundamentally changes the decision process. Identifying the source determines whether the duty is external, internal, or self-imposed, guiding the individual toward a coherent moral framework.","A identificação da fonte determina se o dever é externo, interno ou auto-imposto, orientando o indivíduo em direção a um quadro moral coerente.",,flagged,Length ratio out of bounds (0.57)
6648,"Rising sea levels threaten coastal cities worldwide, necessitating urgent infrastructural adaptations and protective measures against tidal surges.","O aumento do nível do mar ameaça cidades costeiras em todo o mundo, exigindo adaptações de infra-estrutura urgentes e medidas de proteção contra surtos de maré.",,flagged,Length ratio out of bounds (1.53)
6679,"Bioethics debates are escalating as gene-editing technologies advance, forcing society to define the boundaries of human modification.","Os debates sobre bioética estão aumentando à medida que as tecnologias de edição de genes avançam, forçando a sociedade a definir os limites da modificação humana.",,flagged,Length ratio out of bounds (1.53)
6696,Automation fueled by advanced AI algorithms is rapidly transforming white-collar sectors. Concerns persist regarding mass job displacement among knowledge workers globally.,A automação por algoritmos avançados de IA está transformando rapidamente os setores de colarinho branco. As preocupações persistem em relação ao deslocamento de empregos em massa entre os trabalhadores do conhecimento em todo o mundo.,,flagged,Length ratio out of bounds (1.67)
6715,Regulators are debating new legislation to restrict how tech companies monetize user data. Advocates argue for explicit consent mechanisms beyond simple 'agree' checkboxes.,Os reguladores estão debatendo uma nova legislação para restringir a forma como as empresas de tecnologia monetizam os dados do usuário. Os defensores defendem mecanismos de consentimento explícito além das caixas de seleção simples 'concordo'.,,flagged,Length ratio out of bounds (1.52)
6720,Global shipping container shortages have severely hampered manufacturing output. Ports worldwide are grappling with unprecedented logistical bottlenecks.,A escassez global de contêineres de transporte tem dificultado severamente a produção de manufatura. Portos em todo o mundo estão lutando com gargalos logísticos sem precedentes.,,flagged,Length ratio out of bounds (1.53)
6733,"Poll watching and sophisticated data analytics help strategists identify swing voters, allowing for highly localized and efficient get-out-the-vote efforts.","A observação de pesquisas e a sofisticada análise de dados ajudam os estrategistas a identificar os eleitores em movimento, permitindo esforços altamente localizados e eficientes de obtenção de votos.",,flagged,Length ratio out of bounds (1.53)
6747,"Strengthening public health infrastructure, including local testing sites, remains crucial for effective pandemic mitigation strategies.","O fortalecimento da infraestrutura de saúde pública, incluindo locais de testes locais, continua a ser crucial para estratégias eficazes de mitigação de pandemias.",,flagged,Length ratio out of bounds (1.53)
6766,"State-sponsored hacking groups are escalating their cyber espionage, targeting intellectual property and government databases globally.","Grupos de hackers patrocinados pelo Estado estão aumentando sua espionagem cibernética, visando a propriedade intelectual e bancos de dados governamentais em todo o mundo.",,flagged,Length ratio out of bounds (1.60)
6787,Reports surfaced detailing the targeted persecution of minority ethnic groups. Critics accuse the governing body of violating constitutional protections.,Os críticos acusam o corpo governante de violar proteções constitucionais.,,flagged,Length ratio out of bounds (0.53)
6789,Concerns mounted over restrictions placed on freedom of assembly and speech. Local authorities reportedly used excessive force against peaceful demonstrators.,As autoridades locais supostamente usaram força excessiva contra manifestantes pacíficos.,,flagged,Length ratio out of bounds (0.50)
6876,"Material simulation within rendering programs accurately replicates the behavior of various textiles, from silk fluidity to denim stiffness, improving design fidelity.","A simulação de materiais dentro de programas de renderização replica com precisão o comportamento de vários têxteis, desde a fluidez da seda até a rigidez do denim, melhorando a fidelidade ao design.",,flagged,Length ratio out of bounds (1.52)
6965,Sustainable dyeing processes reduce chemical pollution in water systems. Choosing low-impact dyes protects local ecosystems and communities.,Processos de tingimento sustentáveis reduzem a poluição química nos sistemas de água. A escolha de corantes de baixo impacto protege os ecossistemas e as comunidades locais.,,flagged,Length ratio out of bounds (1.53)
6991,"By manually adjusting white balance and color profiles, photographers can achieve a specific mood or time-of-day aesthetic that automatic settings miss.","Ao ajustar manualmente o equilíbrio de branco e os perfis de cores, os fotógrafos podem alcançar um humor específico ou uma estética de tempo do dia que as configurações automáticas não conseguem.",,flagged,Length ratio out of bounds (1.52)
7017,"Understanding color theory, such as complementary and analogous schemes, allows graduates to create visually rich and harmonious cinematic palettes.","Compreender a teoria das cores, como esquemas complementares e análogos, permite que os graduados criem paletas cinematográficas visualmente ricas e harmoniosas.",,flagged,Target LangID failed (got __label__es)
7018,"Adjusting white balance accurately prevents color casts, ensuring skin tones look natural and maintaining photographic authenticity in post-production.","O ajuste do balanço de branco previne com precisão os moldes de cor, garantindo que os tons de pele pareçam naturais e mantendo a autenticidade fotográfica na pós-produção.",,flagged,Length ratio out of bounds (1.56)
7051,"Use manual mode to take full control of your exposure triangle—aperture, shutter speed, and ISO—for consistent results.","Use o modo manual para assumir o controle total do seu triângulo de exposição – abertura, velocidade do obturador e ISO – para obter resultados consistentes.",,flagged,Length ratio out of bounds (1.53)
7565,Understanding the differing writing systems—Arabic's right-to-left script versus Hebrew's consistent right-to-left script—is key for beginners.,Compreender os diferentes sistemas de escrita – o script da direita para a esquerda do árabe versus o script consistente da direita para a esquerda do hebraico – é fundamental para iniciantes.,,flagged,Length ratio out of bounds (2.13)
7737,"Unlike now, my parents' generation lived life much slower and simpler.","Ao contrário de agora, a geração dos meus pais viveu uma vida muito mais lenta e simples.",,flagged,Length ratio out of bounds (1.55)
7871,I hope to learn how to play the guitar and perform for friends and family.,Espero aprender a tocar guitarra e tocar para amigos e familiares.,,flagged,Target LangID failed (got __label__es)
7945,Would you mind turning down the music a little bit? It's a bit loud right now.,Importas-te de desligar um pouco a música?,,flagged,Length ratio out of bounds (0.44)
8027,"Excuse me, but do you think I could depart for now? My train is arriving.","Desculpe, mas acha que posso partir por agora?",,flagged,Length ratio out of bounds (0.53)
8030,May I be excused from the table? I need to take an urgent phone call.,Tenho de atender a uma chamada urgente.,,flagged,Length ratio out of bounds (0.47)
8061,Would you mind waiting a moment? My apologies for the slight delay.,As minhas desculpas pelo pequeno atraso.,,flagged,Length ratio out of bounds (0.50)
8281,"To make it up to you, I bought you that book you mentioned.","Para compensá-lo, comprei-lhe o livro que mencionou.",,flagged,Length ratio out of bounds (0.54)
8391,Can we talk about this? I need to properly apologize for my actions.,Preciso de pedir desculpa pelas minhas acções.,,flagged,Length ratio out of bounds (0.54)
8402,I take full responsibility for the error; I promise to fix it.,Assumo total responsabilidade pelo erro; prometo corrigi-lo.,,flagged,Length ratio out of bounds (0.58)
8454,Tracking expenses early helps prevent overspending during the holiday gift rush.,O rastreamento antecipado das despesas ajuda a evitar gastos excessivos durante a corrida de presentes de férias.,,flagged,Length ratio out of bounds (1.55)
8499,"Small desk accessories or plants are great, low-stakes gifts for coworkers.",Pequenos acessórios de mesa ou plantas são ótimos presentes de baixo risco para os colegas de trabalho.,,flagged,Length ratio out of bounds (1.55)
8553,"When visiting China, remember that gift exchange customs can vary greatly by region.","Ao visitar a China, lembre-se de que os costumes de troca de presentes podem variar muito de acordo com a região.",,flagged,Length ratio out of bounds (1.62)
8733,"Building epic blanket forts was the ultimate form of cozy, secret playtime escapism.",Construir fortes de cobertores épicos era a forma definitiva de escapismo secreto e acolhedor.,,flagged,Target LangID failed (got __label__es)
8922,Insufficient sleep negatively affects memory consolidation and learning abilities.,O sono insuficiente afeta negativamente a consolidação da memória e as habilidades de aprendizagem.,,flagged,Length ratio out of bounds (1.56)
8927,Even minor sleep loss negatively impacts problem-solving skills and judgment.,Mesmo a perda de sono menor afeta negativamente as habilidades de resolução de problemas e julgamento.,,flagged,Length ratio out of bounds (1.60)
8996,Interpreting dream anger helps understand boundaries that need setting.,Interpretar a raiva dos sonhos ajuda a entender os limites que precisam ser estabelecidos.,,flagged,Length ratio out of bounds (1.56)
9011,Reducing screen time before bed helps your brain prepare for sleep.,Reduzir o tempo de tela antes de dormir ajuda seu cérebro a se preparar para o sono.,,flagged,Length ratio out of bounds (1.55)
9029,It offers unique opportunities to revisit emotional or challenging memories.,Oferece oportunidades únicas para revisitar memórias emocionais ou desafiadoras.,,flagged,Target LangID failed (got __label__es)
9031,Learning to control dream elements can enhance creative problem-solving skills.,Aprender a controlar os elementos dos sonhos pode melhorar as habilidades criativas de resolução de problemas.,,flagged,Length ratio out of bounds (1.60)
9037,A healthy sleep cycle involves alternating between deep and rapid eye movement sleep.,Um ciclo de sono saudável envolve a alternância entre o sono profundo e o sono rápido do movimento dos olhos.,,flagged,Length ratio out of bounds (1.54)
9103,Work-life balance norms differ significantly across industrialized nations. Comparing these expectations informs strategies for global employee retention and well-being.,As normas de equilíbrio entre trabalho e vida pessoal diferem significativamente entre os países industrializados. A comparação dessas expectativas informa estratégias para a retenção e o bem-estar global dos funcionários.,,flagged,Length ratio out of bounds (1.58)
9208,"I gave the book to him. He found the book useful, so I recommend it to him.","Dei-lhe o livro e ele achou-o útil, por isso recomendo-o.",,flagged,Length ratio out of bounds (0.59)
9228,"He showed us the garden, which is his. Are those plants theirs?","Ele mostrou-nos o jardim, que é dele.",,flagged,Length ratio out of bounds (0.58)
9348,I teach history. You teach history. He teaches history. She teaches history. It teaches history. We teach history. They teach history.,Eu ensino história. Você ensina história. Ele ensina história. Ela ensina história. Ela ensina história. Ensina história. Nós ensinamos história. Eles ensinam história.,,flagged,Duplicate source sentence
9353,I walk to the store. You walk to the store. He walks to the store. She walks to the store. It walks to the store. We walk to the store. They walk to the store.,Eu ando até a loja. Você anda até a loja. Ele caminha até a loja. Ela caminha até a loja. Ele caminha até a loja. Nós caminhamos até a loja. Eles caminham até a loja.,,flagged,Duplicate source sentence
9415,"I drink coffee. I drank coffee. I am drinking coffee, and I will drink coffee. I was drinking coffee, and I had drunk coffee.","Eu bebo café, bebo café, bebo café, bebo café, bebo café, bebi café, bebi café.",,flagged,Target LangID failed (got __label__es)
9498,"They play soccer. They played soccer. They are playing soccer, they have played soccer. They will play soccer. They were playing soccer. They had played soccer.","Eles jogam futebol. Eles jogam futebol. Eles estão jogando futebol, eles jogaram futebol. Eles vão jogar futebol. Eles estavam jogando futebol. Eles tinham jogado futebol.",,flagged,Duplicate source sentence
9499,"It rains heavily. It rained heavily. It is raining heavily, it has rained heavily. It will rain heavily. It was raining heavily. It had rained heavily.","Chove muito. Chove muito. Choveu muito. Choveu muito, choveu muito. Choveu muito. Choveu muito. Choveu muito. Choveu muito.",,flagged,Duplicate source sentence
9643,We visited the historical museum last Saturday afternoon.,Visitamos o museu histórico na tarde de sábado.,,flagged,Target LangID failed (got __label__es)
9649,They finished the project. They did not finish the project.,Eles terminaram o projeto. Eles não terminaram o projeto.,,flagged,Duplicate source sentence
9650,He speaks French fluently. He does not speak French fluently.,Ele fala francês fluentemente. Ele não fala francês fluentemente.,,flagged,Duplicate source sentence
9693,The children played outside until sunset. Did the children play outside until sunset?,As crianças brincavam do lado de fora até o pôr do sol. As crianças brincavam do lado de fora até o pôr do sol?,,flagged,Length ratio out of bounds (1.85)
9724,We ate dinner at the restaurant. Did we eat dinner at the restaurant?,"Jantámos no restaurante, jantamos no restaurante?",,flagged,Length ratio out of bounds (0.46)
9752,The movie was exciting. Was the movie exciting?,O filme foi emocionante. O filme foi emocionante?,,flagged,Duplicate source sentence
9755,It rained heavily last night. Did it rain heavily last night?,Choveu muito ontem à noite. Choveu muito ontem à noite?,,flagged,Duplicate source sentence
9782,It rained heavily last night. Did it rain heavily last night?,Choveu muito ontem à noite. Choveu muito ontem à noite?,,flagged,Duplicate source sentence
9820,It rained yesterday. Did it rain yesterday?,"Choveu ontem, choveu ontem?",,flagged,Length ratio out of bounds (0.57)
9822,They arrived late. Did they arrive late?,Chegaram atrasados. Chegaram atrasados?,,flagged,Length ratio out of bounds (0.57)
9831,The concert was held downtown. Was the concert held downtown?,O concerto foi realizado no centro da cidade. O concerto foi realizado no centro da cidade?,,flagged,Length ratio out of bounds (1.60)
9837,It rained heavily last night. Did it rain heavily last night?,Choveu muito ontem à noite. Choveu muito ontem à noite?,,flagged,Duplicate source sentence
9860,We listened at the conversation to understand the whole argument fully.,Ouvimos a conversa para entender completamente todo o argumento.,,flagged,Target LangID failed (got __label__es)
9961,Many activists raised concern about climate change impacts globally.,Muitos ativistas levantaram preocupações sobre os impactos das mudanças climáticas em todo o mundo.,,flagged,Length ratio out of bounds (1.56)
10704,"I wish I were taller and stronger. If only I could run faster, I would join the marathon team.","Se eu pudesse correr mais rápido, juntar-me-ia à equipa da maratona.",,flagged,Length ratio out of bounds (0.58)
10728,"I wish I hadn't eaten so much dessert last night. My stomach hurts now, and I really regret that overindulgence.",Quem me dera não ter comido tanta sobremesa ontem à noite.,,flagged,Length ratio out of bounds (0.55)
10745,"If only the train ran on time! We wouldn't have missed the beginning of the concert, which would have been fun.","Não teríamos perdido o início do concerto, o que teria sido divertido.",,flagged,Length ratio out of bounds (0.57)
10747,She wishes she could speak French fluently. Maybe she should take some intensive lessons to improve her skills.,Talvez devesse ter aulas intensivas para melhorar as suas competências.,,flagged,Length ratio out of bounds (0.56)
10936,"For high-risk individuals, colonoscopy screening should commence earlier than standard guidelines suggest, typically around age forty-five.","Para indivíduos de alto risco, a triagem de colonoscopia deve começar mais cedo do que as diretrizes padrão sugerem, tipicamente por volta dos quarenta e cinco anos de idade.",,flagged,Length ratio out of bounds (1.81)
10941,"Annual screening for type 2 diabetes involves checking HbA1c levels, which helps monitor long-term glucose control and risk.","A triagem anual para diabetes tipo 2 envolve a verificação dos níveis de HbA1c, o que ajuda a monitorar o controle e o risco de glicose a longo prazo.",,flagged,Length ratio out of bounds (1.61)
11137,"Fact-checking protocols require journalists to verify all claims against primary documents, ensuring source reliability.","Os protocolos de verificação de fatos exigem que os jornalistas verifiquem todas as reivindicações contra documentos primários, garantindo a confiabilidade da fonte.",,flagged,Length ratio out of bounds (1.57)
11143,Transparency regarding source anonymity helps maintain journalistic integrity and builds public trust in reporting.,A transparência em relação ao anonimato da fonte ajuda a manter a integridade jornalística e constrói a confiança do público na reportagem.,,flagged,Length ratio out of bounds (1.57)
11180,Fairness dictates balanced coverage. Reporters should not sensationalize tragedy merely to increase readership or views.,A justiça dita uma cobertura equilibrada. Os repórteres não devem sensacionalizar a tragédia apenas para aumentar o número de leitores ou pontos de vista.,,flagged,Length ratio out of bounds (1.60)
11191,"Triangulating information—checking claims against diverse, independent sources—is crucial for robust news reporting.",A triangulação de informações – verificação de reivindicações contra fontes diversas e independentes – é crucial para reportagens robustas.,,flagged,Length ratio out of bounds (1.58)
11241,"Adapting long-form interviews for social media demands brevity. Reporters must distill key quotes into engaging, shareable snippets.",Os repórteres devem destilar citações-chave em trechos envolventes e compartilháveis.,,flagged,Length ratio out of bounds (0.59)
11290,Plumbers precisely measure pipe diameters to ensure proper water flow and connection.,Os encanadores medem com precisão os diâmetros dos tubos para garantir o fluxo e a conexão adequados da água.,,flagged,Length ratio out of bounds (1.58)
11317,Consult the breaker panel label to identify the correct circuit for specific outlets.,Consulte o rótulo do painel de disjuntores para identificar o circuito correto para saídas específicas.,,flagged,Target LangID failed (got __label__es)
11322,"Roofing nails offer strong grip, designed to secure overlapping shingles effectively.","As unhas de cobertura oferecem forte aderência, projetadas para garantir a sobreposição de telhas de forma eficaz.",,flagged,Length ratio out of bounds (1.55)
